Activ,drawing,1,0,"Defines active regions in substrate, where
transistors, diodes and/or capacitors will be
fabricated"
Activ,pin,1,2,Activ pin layer
Activ,mask,1,20,added to Active: drawing at mask generation
Activ,filler,1,22,Activ filler layer
Activ,nofill,1,23,Activ filler exclusion layer
Activ,OPC,1,26,Activ outer OPC definition layer
Activ,iOPC,1,27,Activ inner OPC definition layer
Activ,noqrc,1,28,No parasitics extraction
BiWind,drawing,3,0,Defines active npn collector region
BiWind,OPC,3,26,BiWindOPCdefinition layer
GatPoly,drawing,5,0,Defines poly silicon gates and interconnect
GatPoly,pin,5,2,GatPoly pin layer
GatPoly,filler,5,22,GatPoly filler layer
GatPoly,nofill,5,23,GatPoly filler exclusion layer
GatPoly,OPC,5,26,GatPoly outer OPC definition layer
GatPoly,iOPC,5,27,GatPoly inner OPC definition layer
GatPoly,noqrc,5,28,No parasitics extraction
Cont,drawing,6,0,"Defines 1-st metal contacts to Activ, GatPoly"
Cont,OPC,6,26,Cont OPC definition layer
nSD,drawing,7,0,"Defines areas to receive N+ source/drain
implant"
nSD,block,7,21,"Defines areas which do not receive S/D
implants"
Metal1,drawing,8,0,Defines 1-st metal interconnect
Metal1,pin,8,2,Metal1 pin layer
Metal1,mask,8,20,added to Metal1: drawing at mask generation
Metal1,filler,8,22,Metal1 filler layer
Metal1,nofill,8,23,Metal1 filler exclusion layer
Metal1,slit,8,24,Metal1 slit definition layer
Metal1,text,8,25,"Text layer for Metal1, used for LVS"
Metal1,OPC,8,26,Metal1 OPC definition layer
Metal1,noqrc,8,28,No parasitics extraction
Metal1,res,8,29,Wire resistor
Metal1,iprobe,8,33,Current probe
Metal1,diffprb,8,34,Differential current probe
Passiv,drawing,9,0,Defines regions where passivation coating is removed
Passiv,pin,9,2,Passiv pin layer
Passiv,sbump,9,36,Defines passivation openings for solder bump bonding
Passiv,pillar,9,35,Defines passivation openings for copper pillar formation
Passiv,pdl,9,40,Plasma dicing line
Metal2,drawing,10,0,Defines 2-nd metal interconnect
Metal2,pin,10,2,Metal2 pin layer
Metal2,mask,10,20,added to Metal2: drawing at mask generation
Metal2,filler,10,22,Metal2 filler layer
Metal2,nofill,10,23,Metal2 filler exclusion layer
Metal2,slit,10,24,Metal2 slit definition layer
Metal2,text,10,25,"Text layer for Metal2, used for LVS"
Metal2,OPC,10,26,Metal2 OPC definition layer
Metal2,noqrc,10,28,No parasitics extraction
Metal2,res,10,29,Wire resistor
Metal2,iprobe,10,33,Current probe
Metal2,diffprb,10,34,Differential Current probe
BasPoly,drawing,13,0,Defines npn base poly region
BasPoly,pin,13,2,BasPoly pin layer
pSD,drawing,14,0,"Defines areas to receive P+ source/drain
implant"
NLDB,drawing,15,0,Reserved for internal LDMOS development
DigiBnd,drawing,16,0,surrounds areas were digital DRC is valid
Via1,drawing,19,0,Defines 1-st metal to 2-nd metal contact
BackMetal1,drawing,20,0,Defines 1-st back-side metal interconnect
BackMetal1,pin,20,2,BackMetal1 pin layer
BackMetal1,mask,20,20,"added to BackMetal1: drawing at mask
generation"
BackMetal1,filler,20,22,BackMetal1 filler layer
BackMetal1,nofill,20,23,BackMetal1 filler exclusion layer
BackMetal1,slit,20,24,BackMetal1 slit definition layer
BackMetal1,text,20,25,"Text layer for BackMetal1, used for LVS"
BackMetal1,OPC,20,26,BackMetal1 OPC definition layer
BackMetal1,noqrc,20,28,No parasitics extraction
BackMetal1,res,20,29,Wire resistor
BackMetal1,iprobe,20,33,Current probe
BackMetal1,diffprb,20,34,Differential Current probe
BackPassiv,drawing,23,0,"Defines regions where passivation coating is
removed"
RES,drawing,24,0,Identifies resistor areas
SRAM,drawing,25,0,Identifies memory areas
TRANS,drawing,26,0,Identifies bipolar transistor areas
IND,drawing,27,0,Identifies inductor areas
IND,pin,27,2,IND pin layer
IND,text,27,25, IND text layer
SalBlock,drawing,28,0,"Defines non salicided Activ and GatPoly,
BasPoly areas"
Via2,drawing,29,0,Defines 2-nd metal to 3-rd metal contact
Metal3,drawing,30,0,Defines 3-rd metal interconnect
Metal3,pin,30,2,Metal3 pin layer
Metal3,mask,30,20,added to Metal3: drawing at mask generation
Metal3,filler,30,22,Metal3 filler layer
Metal3,nofill,30,23,Metal3 filler exclusion layer
Metal3,slit,30,24,Metal3 slit definition layer
Metal3,text,30,25,"Text layer for Metal3, used for LVS"
Metal3,OPC,30,26,Metal3 OPC definition layer
Metal3,noqrc,30,28,No parasitics extraction
Metal3,res,30,29,Wire resistor
Metal3,iprobe,30,33,Current probe
Metal3,diffprb,30,34,Differential Current probe
NWell,drawing,31,0,"Defines the regions that receive P-Channel
VT adjust, P-Channel Punch-Through and
N-Well implants"
NWell,pin,31,2,NWell pin layer
nBuLay,drawing,32,0,"Defines bipolar sub collector and isolated
NMOS devices"
nBuLay,pin,32,2,nBuLay pin layer
nBuLay,block,32,21,"Defines areas where non BuLay implantis
allowed"
EmWind,drawing,33,0,Defines npn emitter window
EmWind,OPC,33,26,EmWind OPC definition layer
DeepCo,drawing,35,0,Defines deep collector regions
MIM,drawing,36,0,Defines Metal-Insulator-Metal capacitor area
EdgeSeal,drawing,39,0,"EdgeSeal definition layer,reserved for
internal use only"
Substrate,drawing,40,0,Substrate recognition layer for LVS
Substrate,text,40,25,Substrate recognition text for LVS
dfpad,drawing,41,0,Pad recognition layer
dfpad,pillar,41,35,Copper pillar pad recognition layer
dfpad,sbump,41,36,Solder bump pad recognition layer
ThickGateOx,drawing,44,0,Thick Gate Oxide
PLDB,drawing,45,0,Reserved for internal LDMOS development
PWell,drawing,46,0,Reserved for internal use
PWell,pin,46,2,Pwell pin layer
PWell,block,46,21,"Defines areas where no well implants are allowed
PWL:=NOT(NWell OR PWell::Block)"
IC,drawing,48,0,Reserved for internal use
Via3,drawing,49,0,Defines 3-rd metal to 4-th metal contact
Metal4,drawing,50,0,Defines 4-th metal interconnect
Metal4,pin,50,2,Metal4 pin layer
Metal4,mask,50,20,added to Metal4: drawing at mask generation
Metal4,filler,50,22,Metal4filler layer
Metal4,nofill,50,23,Metal4filler exclusion layer
